ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
582.478,-0.851611,806.775,433.655,-0.585828,511.811,40.3024,190.381,0.573328,3.04599,1143.31,0.0472199,0.0990859,0.437174,0.8846,324.245,1.92292
134.574,-0.797665,179.705,288.063,-1.08377,475.098,24.686,251.663,1.8836,0.655903,201.682,0.108062,0.297198,0.198374,0.526296,84.2173,1.13525
259.881,-1.76273,779.632,190.135,-1.1186,322.819,22.665,386.931,2.73196,0.64414,1054.4,0,0.432035,0.452086,0.728591,246.229,1.842
209.078,0.558928,242.595,318.279,-1.03835,511.82,78.0204,399.532,2.18107,1.62732,305.501,0.177116,0.580299,0.52143,0.835199,219.639,1.63501
227.263,0.211991,232.389,184.533,0.331062,195.683,19.2031,158.756,2.17491,2.70046,908.62,0.273053,0.298648,0.268133,0.276719,105.145,1.13627
319.512,1.02933,504.258,449.703,1.45973,1022.41,67.5626,1086.07,2.73278,0.711317,1336.12,0.37592,0.612675,0.595002,0.621314,332.277,1.76802
188.552,0.471964,209.945,199.771,0.238024,208.333,34.4981,151.844,1.93278,3.06,360.916,0.215384,0.304791,0.169579,0.500672,229.776,2.41335
201.118,-0.839706,276.288,108.596,-0.604502,131.123,23.2287,342.507,3.06332,0.292427,1964.16,0.14273,0.512079,0,0.481499,179.06,2.02142
125.749,0.0468735,125.887,141.933,1.43819,316.289,17.0092,79.7626,0.872856,3.33681,558.554,0.200141,0.230906,0,0.61554,278.135,3.98117
269.801,2.01667,1031.5,167.299,0.955888,250.183,15.0328,76.5107,0.576389,3.13368,515.525,0.117463,0.435272,0.461598,0.591401,323.417,2.62172
233.063,-0.790322,309.717,314.068,0.887067,448.687,49.4418,461.017,3.24411,1.67837,236.456,0.252725,0.258701,0.12847,0.336059,120.712,1.20727
133.78,1.04394,213.543,110.517,0.182206,113.349,14.9652,189.898,2.55159,3.06291,235.302,0.396126,0.764766,0.513515,0.899999,266.424,3.03582
158.993,1.51654,379.667,120.738,-1.60428,312.84,16.0566,522.692,3.36713,3.15389,842.188,0.404068,0.480415,0.119918,0.497569,113.839,1.74358
130.329,0.116358,131.213,367.277,-1.55566,909.669,38.0883,693.008,3.15552,1.72518,1038.01,0.303555,0.844636,0.64267,0.686829,136.444,0.809372
150.963,-0.933695,221.689,141.222,-1.53979,345.205,22.9636,204.615,1.58532,2.4089,318.392,0.328776,0.452808,0.495365,0.520321,301.349,1.00337
126.495,0.41266,137.419,374.797,0.454965,424.427,92.3391,165.242,0.613693,3.09592,752.95,0.394096,0.444001,0.48317,0.767556,225.199,2.78498
261.597,1.91379,905.94,337.688,-1.50312,799.583,68.6735,226.513,0.74561,3.12158,492.44,0.19691,0.358729,0,0.803589,23.2838,0.00825797
117.278,0.576614,137.321,147.653,1.00859,229.897,16.0137,461.079,0.079077,3.10427,317.258,0.348887,0.610017,0.653171,0.705791,292.92,2.80997
126.077,-1.25336,238.768,114.033,-0.835821,156.704,12.0685,175.826,2.8561,3.16643,1514.3,0,0.47079,0.372236,0.683753,254.196,2.98438
195.278,0.8741,274.752,276.661,0.919955,404.875,46.2371,366.98,2.82264,3.08116,159.241,0.313628,0.451305,0.220203,0.411124,104.946,1.99439
232.925,0.0103292,232.937,145.538,0.578348,171.743,20.0833,160.565,1.1491,0.576742,497.275,0.178809,0.597785,0.623043,0.814008,466.579,1.74934
252.98,-0.663905,310.811,163.863,-1.49552,385.303,32.6836,110.256,0.625015,0.834058,282.552,0.243555,0.266977,0.326575,0.397216,214.494,2.01194
151.395,-0.838131,207.756,511.526,-0.744844,665.397,83.755,155.167,0.869631,0.174342,477.006,0,0.26622,0.624831,0.74802,154.066,1.03405
168.961,0.58016,198.203,273.928,-1.97609,1007.62,32.1915,695.846,2.27304,3.52243,335.958,0,0.198247,0.639755,0.779825,4.36677,0.00774587
219.947,-0.248438,226.769,321.59,-0.825423,438.517,29.7454,194.788,2.49531,2.99406,1031.78,0.25297,0.343154,0.461468,0.691779,162.608,2.42549
136.167,1.94225,484.606,309.889,1.28126,601.944,33.614,497.664,0.497942,2.73641,927.719,0.730395,0.902986,0.111699,0.882125,207.623,1.28343
131.494,-0.818582,178.066,209.898,-0.802092,282.685,29.7447,247.308,1.23629,0.110666,2392.13,0.419272,0.433099,0.562207,0.590981,169.368,2.58083
119.897,-0.539432,137.768,192.547,0.137756,195.536,21.2599,120.819,0.579524,0.677584,253.319,0.133396,0.227826,0.395681,0.453732,127.474,2.20117
128.008,0.522754,145.901,267.874,0.997207,419.22,74.9086,188.856,0.898719,2.87937,365.535,0.223861,0.33292,0.671768,0.892392,101.115,1.47634
223.176,-2.3247,1151.74,200.688,0.3441,214.399,27.0401,228.488,1.58343,3.78512,820.112,0.158528,0.555725,0.316829,0.737192,216.495,1.47964
141.72,1.11762,239.836,58.2777,1.20357,106.059,6.88297,50.2268,0.869096,0.230859,727.348,0.425666,0.809509,0.422045,0.539933,140.897,0.87427
148.65,-2.27743,732.411,184.729,0.229864,190.205,14.7626,203.203,1.14164,2.76603,342.463,0.347958,0.551174,0.527049,0.685157,573.425,1.59881
480.325,0.588697,565.989,505.103,0.112933,514.75,81.0591,1483.44,1.43418,0.877308,1191.32,0,0.223292,0.526873,0.660305,328.929,2.61194
240.606,1.11459,406.186,283.121,-0.662544,348.688,27.9326,632.575,2.15722,1.82201,1764.6,0.195004,0.464629,0,0.425064,173.446,1.10842
112.19,-1.68511,312.925,345.93,1.0468,554.677,37.3757,1589.38,1.35616,3.84027,1146.35,0.318363,0.404375,0.106004,0.614819,494.032,1.25536
168.73,1.36739,352.634,211.738,0.673144,267.399,55.6328,311.209,1.01215,2.92813,152.545,0.190691,0.418165,0.749548,0.756219,240.414,1.71439
191.924,-1.51246,456.611,208.549,-0.2219,214.472,18.1205,175.374,1.69433,3.27375,1696.08,0.230029,0.444943,0.315078,0.569295,242.685,2.84238
149.48,0.386399,160.778,168.948,-0.156449,176.207,42.4395,146.937,0.913608,2.71138,347.443,0.365512,0.606257,0.56243,0.569149,71.1734,1.04857
406.798,-0.128057,410.138,316.084,0.480072,354.063,24.5219,357.45,2.21199,2.63684,1798.18,0.609467,0.776306,0.16416,0.581573,228.803,2.50153
106.166,0.356181,112.972,242.75,1.70101,687.351,13.4265,397.758,1.74527,2.48885,1971,0.225857,0.260893,0.362766,0.424298,184.763,2.43488
220.235,1.57761,556.073,161.274,1.71492,462.687,11.1561,214.002,1.87889,2.63269,799.857,0.072059,0.493181,0.366939,0.810801,263.97,2.31219
133.031,0.433786,145.745,160.603,-0.0667771,162.14,19.5178,259.926,2.67656,0.762584,402.048,0.0468861,0.155075,0,0.737738,131.391,1.15472
203.556,1.80098,633.128,152.549,1.69431,429.496,16.8413,87.3092,0.811828,3.08246,2118.68,0.115969,0.31511,0.401317,0.594393,215.355,2.96865
143.937,-0.80431,193.06,360.924,-0.651824,440.693,17.344,171.014,1.23969,2.84832,229.74,0.570857,0.868545,0.0693805,0.763963,162.226,0.940524
134.689,0.753249,174.741,397.446,0.701962,506.932,86.7474,490.407,2.75053,2.68182,740.676,0.171902,0.53827,0.344629,0.721,241.388,2.15297
124.315,-0.685954,154.728,194.048,1.37795,409.544,13.2672,218.482,2.89177,3.56963,499.652,0.441334,0.566115,0.30139,0.659629,154.56,2.80357
154.8,-1.10138,258.572,134.441,-0.851702,187.12,18.3038,276.271,2.37899,2.21538,305.489,0,0.372285,0.202938,0.228064,157.284,2.14013
221.853,-0.904171,318.887,215.113,-0.736095,276.356,12.5582,151.119,0.796199,1.07371,706.132,0.0760794,0.54871,0.283416,0.361287,474.78,2.98949
138.414,0.220419,141.79,124.428,0.466794,138.654,10.8083,92.0842,0.708174,2.57299,324.577,0.0818136,0.59131,0.495756,0.554469,325.075,2.99741
347.876,-0.899432,498.334,148.211,-1.33561,301.983,20.8628,248.511,1.57761,2.97385,1195.47,0.187787,0.203824,0.207102,0.349291,192.081,1.16992
165.336,-0.165588,167.608,122.191,-0.113009,123.327,9.35164,91.8805,1.06441,3.10445,142.011,0.35306,0.537372,0.659286,0.731036,206.641,1.14082
151.703,0.0728522,152.106,163.146,0.683458,203.845,21.0345,256.988,2.06692,2.24603,509.09,0.311257,0.806268,0.290991,0.49565,231.51,1.1597
267.383,1.0478,428.09,499.404,-1.04544,802.112,80.1597,344.019,1.02262,2.09537,738.514,0.545155,0.628879,0.670997,0.858077,120.456,1.11141
111.079,-1.40828,240.68,138.235,-0.0395296,140.249,23.0467,371.103,2.7009,1.3729,527.75,0.204334,0.383787,0.460667,0.555478,160.672,1.62865
146.208,1.21452,267.964,293.034,1.12948,501.196,22.6164,300.838,1.93267,0.19816,1160.53,0.323407,0.359136,0.329932,0.53198,161.264,1.91853
163.779,-1.0446,261.562,118.497,0.291019,124.712,16.9842,207.162,1.87409,3.17342,634.124,0.554031,0.705835,0.564762,0.860131,97.7799,1.06442
379.721,0.184138,386.176,685.562,0.377316,738.629,73.6781,817.629,2.54745,0.551318,750.552,0.291317,0.351429,0.595129,0.672416,285.109,2.123
214.994,-1.56397,536.094,163.339,-1.70354,463.999,21.3604,263.026,2.92562,0.202262,1287.09,0.56784,0.651658,0.295188,0.432729,231.624,2.27602
182.493,-0.0125076,182.507,136.6,0.760401,178.569,13.8315,151.871,1.62905,2.9331,667.987,0,0.401586,0.758926,0.863831,151.719,2.07577
132.721,2.08865,544.012,114.316,2.35862,610.013,10.0338,117.924,1.84154,2.79556,1320.02,0.21121,0.263733,0.245562,0.517636,176.583,2.996
119.13,-0.112156,119.88,135.422,0.498217,153.121,12.8694,61.0228,0.840947,0.611737,187.668,0.0263747,0.246959,0.387894,0.810329,49.0217,0.110611
235.177,-0.502937,265.553,320.304,1.12703,547.008,29.8293,609.022,3.4126,1.71714,410.693,0.0822161,0.229356,0.385457,0.566678,257.774,2.64843
152.753,-0.37479,163.608,186.602,-1.24077,351.036,31.285,87.2073,0.632237,2.98263,378.271,0,0.299668,0.319109,0.525576,239.793,2.55899
149.437,-1.23286,278.138,124.695,-1.46873,285.321,9.13669,195.808,2.25822,0.753423,1115.47,0.141487,0.193646,0.00947002,0.329452,161.12,2.82716
143.811,-1.43843,320.078,217.217,-1.33421,441.72,25.3965,327.798,2.83637,0.226346,181.732,0.343298,0.35275,0.313457,0.376951,381.44,1.80857
222.611,-1.18763,398.945,218.541,0.430043,239.545,15.1893,315.452,0.939971,1.74548,432.281,0.405814,0.499253,0.249474,0.494912,216.491,2.7974
225.17,1.62803,595.588,197.674,1.93574,699.766,29.9557,86.9048,0.595256,0.415181,1378.81,0.378209,0.620965,0.401969,0.4383,335.003,2.7333
207.335,-0.502063,234.02,258.147,-0.422021,284.264,39.6991,97.7655,0.683575,0.373604,752.925,0.275864,0.776088,0.295235,0.364978,119.54,1.57965
469.092,-0.654674,573.26,468.444,-0.226831,486.935,78.6133,201.261,0.895802,3.15541,817.017,0.487154,0.499311,0.360756,0.400165,329.086,2.85598
145.541,0.111645,146.449,165.214,-0.288745,173.875,24.4387,324.402,2.25574,2.96861,229.163,0.543626,0.718563,0.621528,0.676703,217.707,1.98759
315.94,1.48482,733.091,230.685,-1.04408,371.657,50.0954,415.412,1.67677,2.52932,135.461,0.203375,0.500306,0.76734,0.788436,566.439,3.1635
115.355,1.02652,181.66,148.747,1.03806,237.128,19.2021,192.202,0.682732,2.78443,183.387,0.30291,0.786761,0.469127,0.65975,82.2735,0.968061
114.289,-1.263,218.225,118.863,0.642324,145.106,15.8404,88.7443,1.22925,1.92235,846.561,0.293014,0.504093,0.417143,0.4739,172.192,2.72405
150.112,-0.660658,184.08,401.408,-0.341121,435.715,96.0773,595.573,0.34102,2.83361,183.58,0.170303,0.217669,0.67417,0.810245,3.06903,0.0203869
133.493,-0.404732,144.577,114.88,-2.01789,440.103,18.3011,121.763,1.47999,1.73885,2179.71,0.359581,0.370322,0.47572,0.493976,121.835,1.96035
146.796,0.94725,217.728,208.929,-0.917506,305.613,38.2151,242.165,1.99917,3.59304,66.2825,0.17064,0.219143,0.30085,0.529478,139.272,1.7052
153.634,0.839853,211.078,671.253,1.2465,1264.01,20.2203,1106.57,2.81033,0.722156,1333.33,0.379164,0.507504,0.129298,0.276389,44.6934,0.0441289
163.174,1.70506,463.701,288.974,-1.68042,803.247,34.7057,500.343,2.273,0.985237,1424.32,0.150134,0.426008,0.296515,0.365222,19.0902,0.00252197
211.545,-1.46901,483.918,399.428,0.422438,442.931,80.2476,295.137,2.66169,3.57651,182.567,0.187606,0.559577,0.639727,0.755095,432.32,0.747648
147.101,-1.16012,257.703,312.49,0.204135,319.638,19.8169,553.281,1.26344,2.91287,385.028,0.467726,0.859241,0.417992,0.672146,160.616,1.05323
205.753,-1.20149,373.011,273.999,1.22706,508,22.6884,274.487,2.8034,3.7692,311.298,0.507492,0.779682,0.490792,0.654559,181.124,1.08372
139.011,0.760802,181.221,308.856,0.294657,323.611,28.4186,274.777,1.47653,0.542178,883.757,0.171103,0.431485,0.376391,0.622945,183.807,2.39253
279.333,0.18163,283.953,454.285,1.1657,804.448,88.9915,1234.76,3.89614,1.07653,442.359,0.0855773,0.333661,0.320587,0.668237,212.172,2.07548
155.973,0.900157,223.548,59.9874,1.83277,192.643,11.5874,63.2189,1.59672,3.21025,229.224,0.574317,0.756462,0.350239,0.476531,100.628,1.44759
247.566,-1.21446,453.709,294.898,-0.926899,432.561,37.7412,106.89,0.644019,3.11615,681.841,0.255168,0.519243,0.376113,0.735413,436.859,3.03632
128.255,-0.109796,129.029,230.22,-0.651809,281.695,21.3878,194.221,1.29353,2.96032,974.642,0.305306,0.381487,0.652634,0.747551,134.783,1.76898
544.241,-0.338712,575.76,351.97,0.271564,365.755,23.0365,1078.8,3.20899,2.81542,1541.87,0.131598,0.166932,0.450931,0.498494,594.015,2.81449
116.735,0.941458,172.405,141.939,-0.635896,171.984,11.2413,103.157,1.10392,3.3768,384.516,0.286193,0.526497,0.241122,0.44314,649.511,1.85166
192.517,0.626548,231.557,156.019,0.145048,158.901,19.7941,130.853,1.27579,0.492959,1733.59,0.33983,0.551856,0.631353,0.632695,1094.56,1.88414
119.061,0.846765,164.357,328.069,0.567012,383.964,36.3994,942.923,2.74274,1.40263,833.26,0.49307,0.637074,0.410396,0.550979,263.432,2.61814
162.791,0.776628,214.403,417.641,1.08686,690.713,39.705,311.148,2.24179,2.85557,696.54,0.233285,0.237031,0.504193,0.610466,537.879,3.24699
565.678,0.028307,565.904,1016.34,-1.00927,1580.82,66.0118,1252.24,2.89863,2.94024,1359.25,0.107563,0.557744,0.578804,0.828287,619.209,1.78997
346.891,-0.231612,356.237,872.211,0.0552402,875.321,55.7697,1471.13,2.76421,0.427724,634.426,0,0.149822,0.653425,0.684046,503.545,3.1396
211.746,1.23961,396.362,250.731,0.845699,350.181,54.8009,353.115,2.07483,3.12873,531.878,0.308132,0.779251,0.649278,0.674115,324.164,2.45755
158.849,-1.79218,489.981,123.167,-0.852891,173.668,31.7218,161.552,2.23545,3.20614,452.793,0,0.235108,0.537548,0.542766,221.047,2.09329
423.601,0.445707,466.377,444.527,0.877635,628.161,38.1854,245.509,2.75016,2.94069,1750.84,0.154252,0.361335,0.306081,0.791409,188.123,1.0948
402.309,2.13286,1721.38,431.639,0.238566,451.142,80.0655,425.57,2.84918,1.89507,1941.43,0.227048,0.22848,0.487318,0.700912,137.777,1.10439
119.561,1.11978,202.687,180.077,1.23051,334.827,14.7368,577.216,2.49471,1.78696,54.4458,0.0775296,0.459989,0,0.592588,49.0679,0.0848471
187.431,0.770891,245.936,176.631,0.417891,195.045,32.7295,106.17,0.74051,0.789189,768.8,0.295196,0.405019,0.38132,0.490786,385.127,3.9577
215.413,-1.13295,369.097,236.454,-1.09511,396.678,53.9873,338.524,0.768031,2.57312,598.135,0,0.37794,0.332181,0.595083,205.911,1.117
254.749,1.92097,888.313,270.831,0.642968,330.157,30.2412,205.419,1.41644,3.24557,1950.32,0.119846,0.370883,0.643711,0.747002,247.452,0.629724
396.807,0.0489433,397.283,486.83,0.207209,504.526,84.9775,596.905,3.88329,0.160091,549.559,0.100441,0.163385,0,0.707281,415.723,2.20081
170.214,-2.05683,676.512,343.869,-0.872055,483.758,24.8121,454.224,1.84074,1.31063,1173.83,0.235534,0.449502,0.0805635,0.226878,851.311,1.33418
179.585,0.478571,200.545,167.155,-0.202606,170.844,9.17183,194.088,1.66919,2.60049,64.9966,0,0.143041,0.039532,0.571998,129.354,1.8975
87.341,-1.4144,190.277,132.784,0.828601,181.645,14.8671,371.154,1.962,3.56742,97.5329,0.109829,0.638621,0.697161,0.752876,0.370077,0.00423963
164.299,-1.98383,608.569,179.855,2.35214e-06,182.49,30.8991,695.458,1.1438,3.25876,685.647,0.317674,0.409667,0.553523,0.660095,220.646,2.84588
234.76,-0.36381,250.468,92.7502,0.545831,107.158,7.24519,71.6494,1.16896,2.9537,152.561,0.38607,0.400073,0.459811,0.463127,340.629,2.518
290.403,-1.93529,1026.63,215.281,-0.283708,224.592,16.2473,493.155,1.31313,3.23046,585.569,0.0608783,0.181843,0.0866506,0.311842,351.086,2.89098
146.311,1.68585,408.378,266.11,0.261187,279.284,47.3595,192.684,1.02785,1.46454,225.427,0,0.350423,0.554977,0.585719,490.864,0.639835
149.99,2.31379,765.818,118.816,0.13668,121.111,16.8854,134.919,1.56273,2.17756,1335.76,0.373355,0.753705,0.279678,0.605151,561.043,3.13212
145.253,0.616081,173.702,209.757,-0.725876,269.05,28.9659,188.626,1.94711,1.35755,289.622,0.280077,0.546326,0.0537366,0.290581,113.04,2.14675
127.105,-0.801164,170.127,182.912,-0.214762,187.92,17.028,158.487,2.90978,2.96377,306.375,0.170778,0.477012,0.186454,0.349744,31.9305,0.0691645
144.241,-0.474794,160.807,185.571,-1.70528,528.094,25.9784,236.098,1.51365,1.27068,366.023,0.18398,0.198229,0.536153,0.582879,573.732,1.15176
387.594,-0.230348,397.923,284.127,0.161864,288.667,21.6049,202.807,1.95339,3.1164,89.8389,0.0979644,0.427479,0.436942,0.529882,212.069,2.04474
224.277,0.0846728,225.082,218.143,-0.857274,304.179,22.673,222.986,1.90373,3.02104,380.067,0.623406,0.728613,0.608142,0.777466,243.935,1.98525
265.466,-0.825208,361.1,477.84,-1.18576,857.238,61.6434,589.19,2.0345,0.624092,1344.89,0.394069,0.407483,0.288575,0.652104,438.888,2.69851
146.789,-1.64933,396.014,152.181,-0.147875,154.493,14.1023,352.013,2.37654,2.95521,1430.43,0.165645,0.798329,0.279645,0.45418,135.392,2.0366
142.694,1.04709,228.333,102.628,0.796359,137.715,14.7129,70.0781,0.746566,0.405226,985.448,0.152083,0.200627,0.173502,0.429797,185.302,2.35561
171.667,0.288225,178.847,154.844,1.95941,560.377,12.7006,547.74,0.758601,3.51324,1154.85,0.117135,0.381282,0.312586,0.505517,269.438,3.61434
167.771,-1.77889,511.039,164.046,0.219978,170.081,26.3227,92.3414,0.781479,3.49417,117.935,0.175314,0.265008,0.464999,0.667626,724.912,1.46051
191.687,0.823935,260.517,385.469,-0.800524,516.442,27.3201,538.602,3.26457,1.6957,463.471,0.0304446,0.242752,0.21576,0.61232,421.54,3.48554
209.302,-1.0703,341.074,232.943,0.0724762,234.429,20.2233,221.394,2.16305,1.14645,358.352,0.118831,0.489676,0.273716,0.610226,131.261,1.44446
426.57,0.494926,479.89,384.334,1.43011,850.853,54.8875,315.413,1.1915,0.95609,1504.66,0.191431,0.318332,0.410202,0.486464,304.85,2.57346
116.28,-2.1698,515.742,153.802,-1.2211,284.808,27.8512,521.614,3.10876,3.16373,173.82,0.300842,0.37212,0.354223,0.463847,236.962,2.44293
164.304,-1.32677,331.415,259.604,1.38744,554.184,46.6616,352.242,3.59888,2.7147,657.276,0.0168282,0.207364,0.570323,0.570963,260.474,2.21948
141.664,-1.68719,395.903,198.208,-1.60624,514.561,27.6211,207.224,1.75335,3.0137,1586.26,0.322093,0.45413,0.349984,0.400074,209.422,2.95288
188.745,-1.08653,311.558,411.527,1.04457,661.043,71.0719,646.513,3.03111,3.60754,354.357,0.199732,0.592029,0,0.288452,535.805,1.42265
162.421,-1.0904,268.933,61.6235,0.878794,87.5003,9.43525,67.15,1.33207,3.4347,56.2347,0.373592,0.440787,0.343492,0.412668,215.639,1.45816
153.722,1.06391,249.243,375.645,1.17295,665.437,21.9562,383.483,2.17522,2.82635,624.187,0.18813,0.20829,0.520671,0.543786,153.968,1.86351
113.814,0.133842,114.835,139.06,0.72615,177.895,13.7553,233.107,2.59207,3.1493,62.0022,0.385226,0.638583,0.551758,0.580779,133.74,2.09316
210.739,-1.13686,362.238,220.005,0.920564,320.864,23.5618,364.52,2.45866,2.31659,842.823,0.415781,0.536375,0.431513,0.566759,979.883,2.15188
196.318,0.894002,280.138,373.9,1.22676,693.831,45.2494,502.649,2.83751,2.57041,1705.37,0.150255,0.199644,0.348424,0.433885,68.9182,0.695336
153.213,1.44438,342.822,221.084,-0.368393,237.327,22.5113,471.133,2.61807,3.27997,3417.92,0.516992,0.598994,0.52841,0.640705,236.357,3.26802
382.413,-1.6295,1012.88,242.905,-0.455328,269.401,21.7257,300.784,1.79119,2.54732,1225.13,0.125353,0.459568,0.254215,0.268366,794.305,1.94442
118.184,0.840464,162.441,136.977,0.16057,139.478,14.2687,158.682,2.15872,2.92494,229.565,0.299169,0.448788,0.588156,0.628057,167.008,2.11172
